wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 1995,1995,4.7,7947,4.8,88,1078.3333333333333,0,Italie
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2008,2008,4.6,39283,4.5,753,3569.0,0,France
Sorì Tildìn (Barbaresco) Langhe,Gaja Sorì Tildìn (Barbaresco) Langhe 2004,2004,4.6,3955,4.6,182,1281.6666666666667,0,Italie
Barbaresco,Gaja Barbaresco 1989,1989,4.5,24516,4.5,213,1067.5,0,Italie
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 2002,2002,4.6,45350,4.6,1292,1395.0,0,France
Réserve Côtes-du-Rhône,Chateau de Fonsalette Réserve Côtes-du-Rhône 2011,2011,4.4,4027,4.5,137,1281.6666666666667,0,France
Brunello di Montalcino Riserva,Biondi-Santi Brunello di Montalcino Riserva 2008,2008,4.6,3375,4.6,163,1971.6666666666667,1,Italie
Sassicaia,Tenuta San Guido Sassicaia 2011,2011,4.6,107646,4.6,7165,881.6666666666667,0,Italie
Barolo Cascina Francia,Giacomo Conterno Barolo Cascina Francia 2007,2007,4.5,6045,4.6,432,740.0,0,Italie
Pomerol,Château Gazin Pomerol 2009,2009,4.2,11645,4.4,601,206.66666666666666,1,France
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 2007,2007,4.6,45350,4.6,1062,1565.0,0,France
Barolo Enrico VI,Cordero di Montezemolo Barolo Enrico VI 2007,2007,4.4,3107,4.4,173,198.33333333333334,0,Italie
Tenuta Guado al Tasso Bolgheri Superiore,Antinori Tenuta Guado al Tasso Bolgheri Superiore 1997,1997,4.5,33392,4.5,411,413.3333333333333,1,Italie
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2006,2006,4.7,7947,4.7,1269,821.6666666666666,1,Italie
Cabernet Sauvignon,Leonetti Cabernet Sauvignon 2004,2004,4.5,3087,4.6,36,295.0,0,États-Unis
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,1998,4.6,22896,4.6,703,1395.0,0,France
Barolo Brunate,Ceretto Barolo Brunate 2007,2007,4.3,4295,4.4,189,406.80000000000007,0,Italie
Redigaffi Toscana,Tua Rita Redigaffi Toscana 2009,2009,4.5,5212,4.5,256,655.0,0,Italie
Luce,Tenuta Luce Luce 2007,2007,4.4,17470,4.4,358,551.6666666666666,0,Italie
Bolgheri Superiore,Ornellaia Bolgheri Superiore 1998,1998,4.6,47939,4.6,1211,566.6666666666666,0,Italie
