wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Messorio,Le Macchiole Messorio 2004,2004,4.5,5514,4.6,271,825.0,0,Italie,38.76770516212684,0.005454545454545455,804.0,1551.0,1177.5
Clos du Mesnil,Krug Clos du Mesnil 1990,1990,4.7,2471,4.7,147,6690.0,0,France,36.718177568146466,0.0007025411061285501,1025.0,2084.0,1554.5
Collection,Krug Collection 1990,1990,4.7,2184,4.7,207,3273.333333333333,0,France,36.13789268326454,0.0014358452138492873,1087.0,2035.0,1561.0
Barolo Cascina Francia,Giacomo Conterno Barolo Cascina Francia 2006,2006,4.5,6045,4.5,426,796.6666666666666,0,Italie,39.18144043372001,0.005648535564853557,760.0,1521.0,1140.5
Pessac-Léognan (Grand Cru Classé de Graves),Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 2006,2006,4.4,27316,4.4,1415,200.06666666666663,0,France,44.947002716356316,0.021992669110296573,384.0,610.0,497.0
Brunello di Montalcino Riserva,Biondi-Santi Brunello di Montalcino Riserva 2001,2001,4.6,3375,4.6,136,1060.0,0,Italie,37.37109277521049,0.004339622641509434,957.0,1689.0,1323.0
Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti Romanée-Saint-Vivant Grand Cru (Marey-Monge) 1993,1993,4.7,6597,4.6,106,11285.0,0,France,41.333540312347495,0.00041648205582631815,600.0,2097.0,1348.5
Clos des Lambrays Grand Cru,Domaine des Lambrays Clos des Lambrays Grand Cru 2005,2005,4.4,6431,4.4,283,1252.5,0,France,38.583095434993396,0.0035129740518962077,826.0,1795.0,1310.5
Barolo Riserva Monfortino,Giacomo Conterno Barolo Riserva Monfortino 1998,1998,4.7,5013,4.7,128,3663.3333333333335,0,Italie,40.04301214113847,0.0012829845313921747,699.0,2046.0,1372.5
Saint-Julien (Grand Cru Classé),Château Gruaud Larose Saint-Julien (Grand Cru Classé) 2005,2005,4.3,32627,4.4,1800,273.3333333333333,0,France,44.68945041534063,0.01573170731707317,413.0,832.0,622.5
Châteauneuf-du-Pape,Château Rayas Châteauneuf-du-Pape 2006,2006,4.7,7544,4.7,869,4411.666666666667,1,France,41.96398677427248,0.0010653570079335096,554.0,2065.0,1309.5
Châteauneuf-du-Pape,Château Rayas Châteauneuf-du-Pape 2006,2006,4.7,7544,4.7,869,4411.666666666667,1,France,41.96398677427248,0.0010653570079335096,554.0,2065.0,1309.5
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2003,2003,4.7,7947,4.7,355,911.6666666666666,1,Italie,42.20858395631885,0.0051553930530164535,533.0,1583.0,1058.0
Valpolicella Superiore Monte Lodoletta,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,2004,4.5,13024,4.5,581,325.0,1,Italie,42.63547089709045,0.013846153846153847,513.0,936.0,724.5
Valpolicella Superiore Monte Lodoletta,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,2004,4.5,13024,4.5,581,325.0,1,Italie,42.63547089709045,0.013846153846153847,513.0,936.0,724.5
