group_name,wine_name,acidity,intensity,sweetness,tannin,price_euros_liter
Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,Saint-Émilion Grand Cru (Premier Grand Cru Classé),3.382386,4.196221,1.7933086,3.5282295,1395.0
Ceretto Barolo Brunate 2007,Barolo Brunate,4.572561,3.772506,1.640828,4.3491044,406.80000000000007
Tua Rita Redigaffi Toscana 2009,Redigaffi Toscana,3.0276775,3.5147495,1.99489,3.018877,655.0
Tenuta Luce Luce 2007,Luce,3.1256583,3.4374213,1.7797035,3.0761526,551.6666666666666
Ornellaia Bolgheri Superiore 1998,Bolgheri Superiore,3.4603708,3.877706,1.788846,3.8922803,566.6666666666666
Ceretto Barolo Brunate 2004,Barolo Brunate,4.572561,3.772506,1.640828,4.3491044,220.0
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2004,Pessac-Léognan (Premier Grand Cru Classé),4.228074,4.081426,1.6701751,4.236691,1338.3333333333335
Fonseca Vintage Port 2000,Vintage Port,2.8633018,4.365433,4.737983,,134.66666666666666
Antinori Tignanello 2011,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,471.6666666666667
Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,Saint-Émilion Grand Cru (Premier Grand Cru Classé),3.36467,3.9971006,1.7328519,3.43769,1395.0
Tua Rita Redigaffi Toscana 2011,Redigaffi Toscana,3.0276775,3.5147495,1.99489,3.018877,740.0
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 1998,Pessac-Léognan (Premier Grand Cru Classé),4.228074,4.081426,1.6701751,4.236691,1395.0
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 1999,Amarone della Valpolicella Monte Lodoletta,2.235851,4.8174415,3.3512034,2.4933603,971.6666666666666
Antinori Tignanello 1978,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,501.6666666666667
Domaine Armand Rousseau Chambertin Grand Cru 2001,Chambertin Grand Cru,4.1259604,3.1480017,1.904137,2.6704326,9991.666666666668
Joseph Phelps Vineyards Insignia 1999,Insignia,3.8176463,4.761486,1.7427489,3.4895406,471.6666666666667
Pétrus Pomerol 1982,Pomerol,3.3773994,4.131702,1.9707285,3.4428678,12240.0
Château l'Évangile Pomerol 2008,Pomerol,3.3779693,4.1397324,1.6909002,3.4706314,471.6666666666667
Ceretto Barolo Bricco Rocche 2006,Barolo Bricco Rocche,4.663758,3.858728,1.5957669,4.3411164,433.33333333333337
Gaja Sorì Tildìn (Barbaresco) Langhe 2006,Sorì Tildìn (Barbaresco) Langhe,4.7012973,3.8227334,1.6132797,4.0354605,1223.3333333333335
Ornellaia Bolgheri Superiore 1994,Bolgheri Superiore,3.4603708,3.877706,1.788846,3.8922803,640.8333333333334
