name,avg_ratings_average,total_ratings_count
Brunello di Montalcino,4.105882352941178,37092
L'Apparita,4.07,1436
Costa Russi (Barbaresco) Langhe,4.050000000000001,613
Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.0285714285714285,16205
Grand Vin de Château Palmer (Grand Cru Classé),3.9875000000000003,3865
Montepulciano d'Abruzzo,3.925,1219
Redigaffi Toscana,3.8714285714285714,3214
Hommage à Jacques Perrin Châteauneuf-du-Pape,3.842857142857144,2242
Pessac-Léognan (Grand Cru Classé de Graves),3.75,4883
Amarone della Valpolicella Classico,3.7277777777777774,11136
Cos d'Estournel,3.7000000000000006,1931
Vigneto Bellavista Chianti Classico,3.62,530
Pomerol,3.578723404255319,12950
Sorì Tildìn (Barbaresco) Langhe,3.566666666666667,1028
Chardonnay,3.56,1368
Kairos,3.56,1226
Siepi,3.5200000000000005,1769
L'Extravagant de Doisy-Daëne Sauternes,3.5,150
Barolo Arione,3.4749999999999996,236
Côte-Rôtie La Mouline,3.45,226
Sorì San Lorenzo,3.425,1079
Darmagi Langhe,3.425,358
Barsac (Premier Grand Cru Classé),3.375,436
Cabernet Sauvignon,3.3600000000000003,20976
Tinto,3.35,3060
Tenuta Guado al Tasso Bolgheri Superiore,3.325,1583
Sauternes (Premier Grand Cru Classé),3.3000000000000003,3356
Falletto Barolo Le Rocche del Falletto Riserva,3.3000000000000003,320
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,3.2142857142857144,350
Musigny Grand Cru (Cuveé Vieilles Vignes),3.1,230
R.D Extra Brut Champagne (Récemment Dégorgé),3.0666666666666664,1488
Amarone Stella,3.0666666666666664,113
Merlot,3.016666666666667,271
Veneto Rosso del Bepi,3.0,1085
Campolongo di Torbe Amarone della Valpolicella Classico,3.0,1016
Barolo Cerretta,3.0,235
Ermitage Ex-Voto,3.0,159
Gallina Barbaresco,3.0,156
d'Alceo,2.966666666666667,325
Lagrein Riserva Porphyr,2.9333333333333336,1126
Barolo Enrico VI,2.9333333333333336,358
Brunello di Montalcino Riserva,2.8113636363636365,3412
Amarone della Valpolicella,2.4555555555555557,961
Cristal Vinothèque,2.4,65
Don PX Convento Selección,2.35,227
Recioto della Valpolicella Classico,2.35,197
Sed de Caná,2.35,88
Fieramonte Amarone della Valpolicella Riserva,2.35,81
Guglielmi di Jago Amarone della Valpolicella Classico,2.35,77
Bure Alto Amarone  della Valpolicella Classico Riserva,2.35,52
Ermitage l'Ermite Blanc,2.35,45
The Black Lion,2.35,42
Chambertin Grand Cru,2.3125,393
Barolo Riserva,2.3,568
Tokaji Aszú 6 Puttonyos,2.3,173
